YEAR,STATE,ENERGY SOURCE,NON CLEAN SOURCE,CLEAN SOURCE,GENERATION (Megawatthours)
1990,AK,Coal,1021146,0,1021146
1990,AK,Hydroelectric Conventional,0,1949042,1949042
1990,AK,Natural Gas,6932522,0,6932522
1990,AK,Petroleum,994232,0,994232
1990,AK,Total,0,11199012,11199012
1990,AK,Wind,0,0,0
1990,AK,Wood and Wood Derived Fuels,302070,0,302070
1990,AL,Coal,107316230,0,107316230
1990,AL,Hydroelectric Conventional,0,20733014,20733014
1990,AL,Natural Gas,2041428,0,2041428
1990,AL,Nuclear,0,24103764,24103764
1990,AL,Other Biomass,95006,0,95006
1990,AL,Other Gases,538952,0,538952
1990,AL,Petroleum,276178,0,276178
1990,AL,Total,0,159304266,159304266
1990,AL,Wood and Wood Derived Fuels,4199694,0,4199694
1990,AR,Coal,38415870,0,38415870
1990,AR,Hydroelectric Conventional,0,7309306,7309306
1990,AR,Natural Gas,7157146,0,7157146
1990,AR,Nuclear,0,22564106,22564106
1990,AR,Other Biomass,30778,0,30778
1990,AR,Petroleum,159958,0,159958
1990,AR,Pumped Storage,0,85944,85944
1990,AR,Total,0,78199196,78199196
1990,AR,Wood and Wood Derived Fuels,2476088,0,2476088
1990,AZ,Coal,63831220,0,63831220
1990,AZ,Hydroelectric Conventional,0,14835152,14835152
1990,AZ,Natural Gas,4667800,0,4667800
1990,AZ,Nuclear,0,41195378,41195378
1990,AZ,Petroleum,303734,0,303734
1990,AZ,Pumped Storage,0,499534,499534
1990,AZ,Total,0,125548594,125548594
1990,AZ,Wood and Wood Derived Fuels,215776,0,215776
1990,CA,Coal,5275354,0,5275354
1990,CA,Geothermal,29042508,0,29042508
1990,CA,Hydroelectric Conventional,0,47585134,47585134
1990,CA,Natural Gas,148336616,0,148336616
1990,CA,Nuclear,0,65385614,65385614
1990,CA,Other,0,0,0
1990,CA,Other Biomass,4235830,0,4235830
1990,CA,Other Gases,4293484,0,4293484
1990,CA,Petroleum,10947704,0,10947704
1990,CA,Pumped Storage,0,1972504,1972504
1990,CA,Solar Thermal and Photovoltaic,0,733336,733336
1990,CA,Total,0,331569818,331569818
1990,CA,Wind,0,5517762,5517762
1990,CA,Wood and Wood Derived Fuels,8243972,0,8243972
1990,CO,Coal,59629966,0,59629966
1990,CO,Hydroelectric Conventional,0,2839740,2839740
1990,CO,Natural Gas,2580184,0,2580184
1990,CO,Other Biomass,57980,0,57980
1990,CO,Petroleum,54780,0,54780
1990,CO,Pumped Storage,0,-66396,-66396
1990,CO,Total,0,65096254,65096254
1990,CT,Coal,7189290,0,7189290
1990,CT,Hydroelectric Conventional,0,1141238,1141238
1990,CT,Natural Gas,2502958,0,2502958
1990,CT,Nuclear,0,39552500,39552500
1990,CT,Other,0,0,0
1990,CT,Other Biomass,2146620,0,2146620
1990,CT,Other Gases,8,0,8
1990,CT,Petroleum,17748932,0,17748932
1990,CT,Pumped Storage,0,12948,12948
1990,CT,Total,0,70294494,70294494
1990,DC,Coal,0,0,0
1990,DC,Petroleum,722086,0,722086
1990,DC,Total,0,722086,722086
1990,DE,Coal,10226958,0,10226958
1990,DE,Natural Gas,1526038,0,1526038
1990,DE,Other,12630,0,12630
1990,DE,Other Gases,329762,0,329762
1990,DE,Petroleum,3587612,0,3587612
1990,DE,Total,0,15683000,15683000
1990,FL,Coal,120200514,0,120200514
1990,FL,Hydroelectric Conventional,0,349208,349208
1990,FL,Natural Gas,37285366,0,37285366
1990,FL,Nuclear,0,43559120,43559120
1990,FL,Other,2906204,0,2906204
1990,FL,Other Biomass,3346156,0,3346156
1990,FL,Petroleum,51070276,0,51070276
1990,FL,Total,0,263005106,263005106
1990,FL,Wood and Wood Derived Fuels,4288262,0,4288262
1990,GA,Coal,137091384,0,137091384
1990,GA,Hydroelectric Conventional,0,9178234,9178234
1990,GA,Natural Gas,1660360,0,1660360
1990,GA,Nuclear,0,49593768,49593768
1990,GA,Other,2,0,2
1990,GA,Other Biomass,270914,0,270914
1990,GA,Petroleum,998960,0,998960
1990,GA,Pumped Storage,0,684220,684220
1990,GA,Total,0,205372480,205372480
1990,GA,Wood and Wood Derived Fuels,5894638,0,5894638
1990,HI,Coal,4762,0,4762
1990,HI,Geothermal,0,0,0
1990,HI,Hydroelectric Conventional,0,159032,159032
1990,HI,Other Biomass,1680010,0,1680010
1990,HI,Other Gases,32326,0,32326
1990,HI,Petroleum,17471724,0,17471724
1990,HI,Total,0,19405504,19405504
1990,HI,Wind,0,57650,57650
1990,IA,Coal,51503882,0,51503882
1990,IA,Hydroelectric Conventional,0,1750228,1750228
1990,IA,Natural Gas,666780,0,666780
1990,IA,Nuclear,0,6023144,6023144
1990,IA,Other Biomass,36036,0,36036
1990,IA,Petroleum,108942,0,108942
1990,IA,Total,0,60089012,60089012
1990,ID,Coal,88742,0,88742
1990,ID,Hydroelectric Conventional,0,18229980,18229980
1990,ID,Natural Gas,111428,0,111428
1990,ID,Other,130406,0,130406
1990,ID,Petroleum,1988,0,1988
1990,ID,Total,0,19382950,19382950
1990,ID,Wood and Wood Derived Fuels,820406,0,820406
1990,IL,Coal,109932036,0,109932036
1990,IL,Hydroelectric Conventional,0,287852,287852
1990,IL,Natural Gas,2839782,0,2839782
1990,IL,Nuclear,0,143774604,143774604
1990,IL,Other Biomass,309710,0,309710
1990,IL,Other Gases,763124,0,763124
1990,IL,Petroleum,877168,0,877168
1990,IL,Total,0,258784942,258784942
1990,IL,Wood and Wood Derived Fuels,666,0,666
1990,IN,Coal,193851108,0,193851108
1990,IN,Hydroelectric Conventional,0,882042,882042
1990,IN,Natural Gas,2941674,0,2941674
1990,IN,Other Biomass,74234,0,74234
1990,IN,Other Gases,3349098,0,3349098
1990,IN,Petroleum,1736076,0,1736076
1990,IN,Total,0,202834232,202834232
1990,KS,Coal,47440516,0,47440516
1990,KS,Hydroelectric Conventional,0,26468,26468
1990,KS,Natural Gas,5005614,0,5005614
1990,KS,Nuclear,0,15748974,15748974
1990,KS,Petroleum,148052,0,148052
1990,KS,Total,0,68369714,68369714
1990,KS,Wind,0,90,90
1990,KY,Coal,141000922,0,141000922
1990,KY,Hydroelectric Conventional,0,6320766,6320766
1990,KY,Natural Gas,55592,0,55592
1990,KY,Petroleum,237292,0,237292
1990,KY,Total,0,147614572,147614572
1990,LA,Coal,35713374,0,35713374
1990,LA,Hydroelectric Conventional,0,1312984,1312984
1990,LA,Natural Gas,78949732,0,78949732
1990,LA,Nuclear,0,28393568,28393568
1990,LA,Other,2585638,0,2585638
1990,LA,Other Biomass,183292,0,183292
1990,LA,Other Gases,881400,0,881400
1990,LA,Petroleum,464196,0,464196
1990,LA,Total,0,152931260,152931260
1990,LA,Wood and Wood Derived Fuels,4447076,0,4447076
1990,MA,Coal,22731786,0,22731786
1990,MA,Hydroelectric Conventional,0,2498484,2498484
1990,MA,Natural Gas,12265404,0,12265404
1990,MA,Nuclear,0,10139240,10139240
1990,MA,Other Biomass,3121030,0,3121030
1990,MA,Other Gases,1660,0,1660
1990,MA,Petroleum,30203584,0,30203584
1990,MA,Pumped Storage,0,-1339166,-1339166
1990,MA,Total,0,79622022,79622022
