Year,State,Energy Source,"Sum of CO2
(Metric Tons)","Sum of SO2
(Metric Tons)","Sum of NOx
(Metric Tons)"
1990,AK,All Sources,8417618,37482,25124
1990,AK,Coal,2936718,28046,11780
1990,AK,Natural Gas,4805316,22,11076
1990,AK,Other,0,1968,458
1990,AK,Petroleum,675584,7445,1808
1990,AL,All Sources,105872126,1011059,436838
1990,AL,Coal,103158948,970457,420795
1990,AL,Natural Gas,2225046,10,4418
1990,AL,Other,31924,37656,11106
1990,AL,Petroleum,456208,2938,521
1990,AR,All Sources,46851604,154930,218794
1990,AR,Coal,40701764,133077,197518
1990,AR,Natural Gas,5956648,29,14669
1990,AR,Other,31922,21318,6424
1990,AR,Petroleum,161270,506,184
1990,AZ,All Sources,66222426,229375,298159
1990,AZ,Coal,63455592,226862,290670
1990,AZ,Natural Gas,2541828,12,6864
1990,AZ,Other,0,1688,290
1990,AZ,Petroleum,225006,813,336
1990,CA,All Sources,105311286,163573,255904
1990,CA,Coal,7709620,63726,32146
1990,CA,Geothermal,721338,0,0
1990,CA,Natural Gas,85786660,412,182489
1990,CA,Other,964146,6714,23726
1990,CA,Petroleum,10129522,92720,17543
1990,CO,All Sources,63034170,186330,292087
1990,CO,Coal,61227856,186118,288048
1990,CO,Natural Gas,1756696,2,3583
1990,CO,Other,2260,106,402
1990,CO,Petroleum,47358,106,54
1990,CT,All Sources,24206536,104469,63024
1990,CT,Coal,7120938,22254,28577
1990,CT,Natural Gas,1395286,8,3216
1990,CT,Other,925526,1349,4620
1990,CT,Petroleum,14764786,80858,26611
1990,DC,All Sources,819448,4606,850
1990,DC,Petroleum,819448,4606,850
1990,DE,All Sources,17769758,160101,54413
1990,DE,Coal,10857648,76980,43407
1990,DE,Natural Gas,1239380,4,2002
1990,DE,Other,0,324,0
1990,DE,Petroleum,5672730,82792,9005
1990,FL,All Sources,183110474,1265523,579258
1990,FL,Coal,114912588,872764,433595
1990,FL,Natural Gas,22530544,113,51455
1990,FL,Other,2676660,56315,18335
1990,FL,Petroleum,42990682,336329,75872
1990,GA,All Sources,135705386,1697013,612528
1990,GA,Coal,130343158,1610022,583961
1990,GA,Natural Gas,2160264,8,4452
1990,GA,Other,621112,60570,20088
1990,GA,Petroleum,2580852,26414,4028
1990,HI,All Sources,16127010,70429,29776
1990,HI,Coal,12690,156,52
1990,HI,Other,472722,88,1344
1990,HI,Petroleum,15641598,70185,28379
1990,IA,All Sources,59908210,365531,304200
1990,IA,Coal,58757044,364916,301500
1990,IA,Natural Gas,1025578,2,2433
1990,IA,Other,2424,100,94
1990,IA,Petroleum,123164,514,174
1990,ID,All Sources,978086,17310,5354
1990,ID,Coal,632008,11084,3155
1990,ID,Natural Gas,342528,2,627
1990,ID,Other,0,6180,1566
1990,ID,Petroleum,3550,45,7
1990,IL,All Sources,121523230,1698346,671618
1990,IL,Coal,116673248,1690464,660009
1990,IL,Natural Gas,2700764,10,7005
1990,IL,Other,0,0,1827
1990,IL,Petroleum,2149218,7872,2776
1990,IN,All Sources,198157188,2553567,979374
1990,IN,Coal,191201904,2546474,968032
1990,IN,Natural Gas,3743726,14,7647
1990,IN,Other,599070,228,1814
1990,IN,Petroleum,2612488,6851,1880
1990,KS,All Sources,55034092,156996,249358
1990,KS,Coal,51540446,154662,240250
1990,KS,Natural Gas,3341114,12,8338
1990,KS,Petroleum,152532,2320,772
1990,KY,All Sources,133382312,1637062,601954
1990,KY,Coal,133170532,1636678,601704
1990,KY,Natural Gas,30620,0,72
1990,KY,Petroleum,181160,384,178
1990,LA,All Sources,89965830,223643,303255
1990,LA,Coal,37895456,181319,165656
1990,LA,Natural Gas,51662594,256,110247
1990,LA,Other,0,35643,26681
1990,LA,Petroleum,407780,6425,670
1990,MA,All Sources,55631864,423787,152957
1990,MA,Coal,20949602,181512,87632
1990,MA,Natural Gas,7313462,33,16438
1990,MA,Other,2039582,1667,5361
1990,MA,Petroleum,25329218,240577,43526
1990,MD,All Sources,54699330,539293,204736
1990,MD,Coal,44213432,481702,182911
1990,MD,Natural Gas,2453306,11,5668
1990,MD,Other,588942,4700,2699
1990,MD,Petroleum,7443650,52880,13458
1990,ME,All Sources,10409332,104967,28604
1990,ME,Coal,1463878,10114,5185
1990,ME,Natural Gas,20870,0,201
1990,ME,Other,464450,16189,9869
1990,ME,Petroleum,8460134,78664,13348
1990,MI,All Sources,143510176,765480,621135
1990,MI,Coal,130385730,725852,591312
1990,MI,Natural Gas,10555728,55,21207
1990,MI,Other,525042,8097,4323
1990,MI,Petroleum,2043676,31477,4296
1990,MN,All Sources,63834158,203505,322198
1990,MN,Coal,61061860,190923,311590
1990,MN,Natural Gas,1414416,2,3597
1990,MN,Other,376128,12033,6804
1990,MN,Petroleum,981754,548,207
1990,MO,All Sources,97410054,1448016,524815
1990,MO,Coal,96757240,1441571,522810
1990,MO,Natural Gas,466592,2,1232
1990,MO,Petroleum,186222,6443,773
1990,MS,All Sources,29553088,239146,106271
1990,MS,Coal,18546286,192955,74012
1990,MS,Natural Gas,9625368,50,22337
1990,MS,Other,0,24899,7585
1990,MS,Petroleum,1381434,21242,2337
1990,MT,All Sources,32258082,34661,172428
1990,MT,Coal,31799228,32118,170671
1990,MT,Natural Gas,349634,2,792
1990,MT,Other,0,1612,829
1990,MT,Petroleum,109220,929,136
1990,NC,All Sources,97999754,727657,405441
1990,NC,Coal,96018348,686526,394100
1990,NC,Natural Gas,442222,2,1035
1990,NC,Other,20260,31690,7836
1990,NC,Petroleum,1518924,9439,2470
1990,ND,All Sources,56976508,266836,137840
1990,ND,Coal,56525788,265628,136810
1990,ND,Natural Gas,226636,2,640
1990,ND,Petroleum,224084,1206,388
1990,NE,All Sources,27115166,93986,156204
1990,NE,Coal,26710816,93880,155212
1990,NE,Natural Gas,377638,2,948
1990,NE,Petroleum,26712,106,44
1990,NH,All Sources,10173498,120873,38497
1990,NH,Coal,5696332,75001,30341
1990,NH,Other,205164,264,2176
1990,NH,Petroleum,4272002,45606,5979
1990,NJ,All Sources,27273624,142841,99385
1990,NJ,Coal,13708662,125413,70747
1990,NJ,Natural Gas,8758942,41,19428
1990,NJ,Other,307038,212,1532
1990,NJ,Petroleum,4498982,17176,7679
1990,NM,All Sources,56776860,108235,250939
1990,NM,Coal,53386026,108089,243146
1990,NM,Natural Gas,3327100,16,7614
1990,NM,Other,0,0,128
1990,NM,Petroleum,63734,130,52
1990,NV,All Sources,33390380,99154,138080
1990,NV,Coal,30170198,96636,130964
1990,NV,Geothermal,38844,0,0
1990,NV,Natural Gas,2666324,12,6188
1990,NV,Petroleum,515014,2506,928
1990,NY,All Sources,138176510,834188,386056
1990,NY,Coal,53339522,541521,211690
1990,NY,Natural Gas,26323816,128,60485
1990,NY,Other,2195090,16457,12712
1990,NY,Petroleum,56318082,276084,101170
1990,OH,All Sources,221214682,4027513,1006351
1990,OH,Coal,219131660,4015732,999162
1990,OH,Natural Gas,582262,0,1372
1990,OH,Other,18996,4045,3273
1990,OH,Petroleum,1481764,7735,2542
1990,OK,All Sources,73484108,205213,336992
1990,OK,Coal,52754978,198492,290123
1990,OK,Natural Gas,20427510,96,45027
1990,OK,Other,2820,4920,1425
1990,OK,Petroleum,298800,1704,419
1990,OR,All Sources,4110310,17745,17956
1990,OR,Coal,2987566,13220,12675
1990,OR,Natural Gas,916362,4,2053
1990,OR,Other,147984,4082,3100
1990,OR,Petroleum,58398,440,127
1990,PA,All Sources,218993602,2479276,906681
1990,PA,Coal,202353072,2338602,869869
1990,PA,Natural Gas,3791448,17,9402
1990,PA,Other,371554,4671,3990
1990,PA,Petroleum,12477528,135986,23421
1990,PR,Petroleum,0,0,0
1990,RI,All Sources,1197124,3282,4032
1990,RI,Natural Gas,821780,6,2316
1990,RI,Other,0,0,722
1990,RI,Petroleum,375344,3276,992
1990,SC,All Sources,47327604,361738,185162
1990,SC,Coal,45582038,330703,175606
1990,SC,Natural Gas,1008182,4,2336
1990,SC,Other,181140,18690,6081
1990,SC,Petroleum,556244,12342,1138
1990,SD,All Sources,5520846,56680,18520
1990,SD,Coal,5467536,56564,18430
1990,SD,Natural Gas,25826,0,42
1990,SD,Petroleum,27484,114,48
1990,TN,All Sources,106640248,1527587,477921
1990,TN,Coal,105313700,1520884,473109
1990,TN,Natural Gas,836942,4,1674
1990,TN,Other,274892,6068,2846
1990,TN,Petroleum,214714,631,289
1990,TX,All Sources,426112336,1137848,1325519
1990,TX,Coal,253137640,968965,942927
1990,TX,Natural Gas,167774260,811,361139
1990,TX,Other,9562,19387,12658
1990,TX,Petroleum,5190874,148687,8795
1990,UT,All Sources,58451876,57491,217982
1990,UT,Coal,58194026,57431,217400
1990,UT,Geothermal,7802,0,0
1990,UT,Natural Gas,178924,0,512
1990,UT,Petroleum,71124,62,71
1990,VA,All Sources,57593512,432656,229874
1990,VA,Coal,52319116,387942,213207
1990,VA,Natural Gas,1280574,4,2720
1990,VA,Other,793118,20402,8552
1990,VA,Petroleum,3200704,24310,5396
1990,VT,All Sources,81738,40,440
1990,VT,Natural Gas,75238,0,174
1990,VT,Other,0,14,253
1990,VT,Petroleum,6500,26,12
1990,WA,All Sources,17087152,135468,109699
1990,WA,Coal,15843172,114186,99272
1990,WA,Natural Gas,923408,4,2753
1990,WA,Other,0,18242,6889
1990,WA,Petroleum,320572,3038,787
1990,WI,All Sources,75080098,636943,376469
1990,WI,Coal,73295202,585236,362557
1990,WI,Natural Gas,785242,2,2518
1990,WI,Other,127172,34789,9483
1990,WI,Petroleum,872482,16919,1908
1990,WV,All Sources,144333152,1755406,611111
1990,WV,Coal,143281508,1752500,609216
1990,WV,Natural Gas,339812,2,812
1990,WV,Petroleum,711832,2904,1084
1990,WY,All Sources,82584322,198196,370390
1990,WY,Coal,82087370,196614,369089
1990,WY,Natural Gas,368976,2,1062
1990,WY,Other,0,1244,88
1990,WY,Petroleum,127976,336,150
1991,AK,All Sources,8141882,24258,25561
1991,AK,Coal,3028164,18523,12315
1991,AK,Natural Gas,4304264,22,11876
1991,AK,Other,0,1912,434
1991,AK,Petroleum,809454,3801,936
1991,AL,All Sources,114082412,1006502,466898
1991,AL,Coal,110546468,965272,450169
1991,AL,Natural Gas,2966782,14,5321
1991,AL,Other,0,36963,10583
1991,AL,Petroleum,569162,4251,824
1991,AR,All Sources,47396692,152059,222556
1991,AR,Coal,41219274,128736,202029
1991,AR,Natural Gas,6017174,30,14244
1991,AR,Other,37878,22845,6122
1991,AR,Petroleum,122366,446,162
1991,AZ,All Sources,66789144,237042,303840
1991,AZ,Coal,64101148,234860,297518
1991,AZ,Natural Gas,2531934,10,5808
1991,AZ,Other,0,1672,286
1991,AZ,Petroleum,156062,499,227
1991,CA,All Sources,100156518,104736,210709
1991,CA,Coal,8260666,63456,29952
1991,CA,Geothermal,734734,0,0
1991,CA,Natural Gas,85683116,418,153530
1991,CA,Other,902952,6915,19829
1991,CA,Petroleum,4575050,33947,7402
1991,CO,All Sources,61613312,178790,269014
1991,CO,Coal,59816386,178567,264842
1991,CO,Natural Gas,1720764,2,3725
1991,CO,Other,0,4,344
1991,CO,Petroleum,76162,218,104
1991,CT,All Sources,23519600,98383,62192
1991,CT,Coal,7120172,21368,28466
1991,CT,Natural Gas,1452008,8,3431
1991,CT,Other,1084520,1210,5273
1991,CT,Petroleum,13862900,75797,25024
1991,DC,All Sources,465752,2406,424
1991,DC,Petroleum,465752,2406,424
1991,DE,All Sources,16360162,99944,55955
1991,DE,Coal,10376752,75608,42114
1991,DE,Natural Gas,1669636,8,3999
1991,DE,Other,0,324,0
1991,DE,Petroleum,4313774,24004,9842
1991,FL,All Sources,196036980,1406927,622977
1991,FL,Coal,118231588,947483,462647
1991,FL,Natural Gas,23542644,113,53148
1991,FL,Other,3100314,59871,18996
1991,FL,Petroleum,51162434,399461,88186
1991,GA,All Sources,122746658,1545569,545556
